title,make,model,year,mileage_km,price_usd,fuel,gearbox,city,listing_date,url
Infiniti QX80 2018,Infiniti,QX80,2018,62000,48800,Бензин,Автомат,Київ,2026-06-27,https://auto.ria.com/uk/auto_infiniti_qx80_40077392.html
Daewoo Lanos 2007,Daewoo,Lanos,2007,262000,2700,Бензин,Ручна / Механіка,Київ,2026-06-27,https://auto.ria.com/uk/auto_daewoo_lanos_39820642.html
Mazda 3 2012,Mazda,3,2012,280000,6500,Бензин,Ручна / Механіка,Дніпро (Дніпропетровськ),2026-06-27,https://auto.ria.com/uk/auto_mazda_3_40055003.html
Skoda Octavia 2009,Skoda,Octavia,2009,165000,7500,Бензин,Ручна / Механіка,Баришівка,2026-06-27,https://auto.ria.com/uk/auto_skoda_octavia_40077242.html
Skoda Fabia 2009,Skoda,Fabia,2009,232000,7899,Бензин,Автомат,Полтава,2026-06-27,https://auto.ria.com/uk/auto_skoda_fabia_40077244.html
Volkswagen Golf 2006,Volkswagen,Golf,2006,227000,7599,Бензин,Автомат,Полтава,2026-06-27,https://auto.ria.com/uk/auto_volkswagen_golf_40077086.html
Volkswagen Crafter 2007,Volkswagen,Crafter,2007,618000,7500,Дизель,Ручна / Механіка,Львів (Львівська),2026-06-27,https://auto.ria.com/uk/auto_volkswagen_crafter_39949687.html
Skoda Octavia 2011,Skoda,Octavia,2011,236000,8500,Дизель,Ручна / Механіка,Київ,2026-06-27,https://auto.ria.com/uk/auto_skoda_octavia_40076606.html
Honda Accord 2008,Honda,Accord,2008,229000,8200,Бензин,Автомат,Харків,2026-06-27,https://auto.ria.com/uk/auto_honda_accord_40076536.html
Mercedes-Benz R-Class 2006,Mercedes-Benz,R-Class,2006,272000,10000,Дизель,,Івано-Франківськ,2026-06-27,https://auto.ria.com/uk/auto_mercedes-benz_r-class_36369897.html
Mercedes-Benz GLK-Class 2013,Mercedes-Benz,GLK-Class,2013,217000,17800,Дизель,Автомат,Івано-Франківськ,2026-06-27,https://auto.ria.com/uk/auto_mercedes-benz_glk-class_40076269.html
Renault Megane 2007,Renault,Megane,2007,240000,3450,Бензин,Ручна / Механіка,Львів (Львівська),2026-06-27,https://auto.ria.com/uk/auto_renault_megane_40076180.html
Subaru Impreza 2014,Subaru,Impreza,2014,200000,8500,Бензин,Варіатор,Одеса,2026-06-29,https://auto.ria.com/uk/auto_subaru_impreza_39735340.html
Lincoln Corsair 2024,Lincoln,Corsair,2024,15000,31900,Бензин,Автомат,Трускавець,2026-06-27,https://auto.ria.com/uk/auto_lincoln_corsair_40076044.html
Kia Sorento 2008,Kia,Sorento,2008,247000,6800,Дизель,Ручна / Механіка,Долина (Івано-Франківська),2026-06-27,https://auto.ria.com/uk/auto_kia_sorento_40076008.html
Volkswagen Golf Plus 2013,Volkswagen,Golf,2013,244000,9500,Дизель,Ручна / Механіка,Дрогобич,2026-06-27,https://auto.ria.com/uk/auto_volkswagen_golf-plus_40032313.html
Mercedes-Benz C-Class 2010,Mercedes-Benz,C-Class,2010,310000,11000,Дизель,Автомат,Івано-Франківськ,2026-06-27,https://auto.ria.com/uk/auto_mercedes-benz_c-class_40075920.html
Hyundai Accent 2011,Hyundai,Accent,2011,119000,7100,Бензин,Ручна / Механіка,Київ,2026-06-27,https://auto.ria.com/uk/auto_hyundai_accent_39944168.html
Audi A3 2014,Audi,A3,2014,81000,15200,Дизель,Автомат,Одеса,2026-06-29,https://auto.ria.com/uk/auto_audi_a3_39580827.html
Mercedes-Benz E-Class 2012,Mercedes-Benz,E-Class,2012,254000,12500,Бензин,Автомат,Хмільник,2026-06-27,https://auto.ria.com/uk/auto_mercedes-benz_e-class_36465267.html
Peugeot 3008 2010,Peugeot,3008,2010,267000,5999,Дизель,Ручна / Механіка,Стрий,2026-06-27,https://auto.ria.com/uk/auto_peugeot_3008_40074175.html
Renault Megane 2013,Renault,Megane,2013,237000,8900,,Ручна / Механіка,Ковель,2026-06-27,https://auto.ria.com/uk/auto_renault_megane_40074155.html
Opel Insignia 2016,Opel,Insignia,2016,193000,13850,Дизель,Автомат,Броди (Львівська),2026-06-27,https://auto.ria.com/uk/auto_opel_insignia_40009806.html
Renault Zoe 2017,Renault,Zoe,2017,95000,9299,Електро,,Дубно,2026-06-27,https://auto.ria.com/uk/auto_renault_zoe_40021748.html
Audi A5 2019,Audi,A5,2019,121000,24900,Бензин,Автомат,Одеса,2026-06-27,https://auto.ria.com/uk/auto_audi_a5_40073385.html
Audi RS6 2024,Audi,RS6,2024,34000,128800,Бензин,Автомат,Київ,2026-06-27,https://auto.ria.com/uk/auto_audi_rs6_39939401.html
Volkswagen Amarok 2017,Volkswagen,Amarok,2017,183000,32500,Дизель,Автомат,Дніпро (Дніпропетровськ),2026-06-27,https://auto.ria.com/uk/auto_volkswagen_amarok_40073720.html
Opel Vivaro 2018,Opel,Vivaro,2018,179000,19999,Дизель,Ручна / Механіка,Дубно,2026-06-27,https://auto.ria.com/uk/auto_opel_vivaro_40073705.html
Nissan Rogue 2020,Nissan,Rogue,2020,40000,21200,Бензин,Автомат,Вінниця,2026-06-26,https://auto.ria.com/uk/auto_nissan_rogue_40073004.html
Daewoo Sens 2006,Daewoo,Sens,2006,130000,1500,Бензин,Ручна / Механіка,Шептицький,2026-06-26,https://auto.ria.com/uk/auto_daewoo_sens_40073081.html
ВАЗ / Lada 2107 1998,ВАЗ,/,1998,150000,750,Бензин,Ручна / Механіка,Біла Церква,2026-06-26,https://auto.ria.com/uk/auto_vaz-lada_2107_40073023.html
ЗАЗ Lanos 2010,ЗАЗ,Lanos,2010,235000,2200,Бензин,Ручна / Механіка,Харків,2026-06-26,https://auto.ria.com/uk/auto_zaz_lanos_39658890.html
Mercedes-Benz M-Class 2014,Mercedes-Benz,M-Class,2014,215000,21500,Дизель,Автомат,Кам'янець-Подільський,2026-06-26,https://auto.ria.com/uk/auto_mercedes-benz_m-class_39761736.html
Fiat 500 2014,Fiat,500,2014,40000,8500,Бензин,Робот,Полтава,2026-06-26,https://auto.ria.com/uk/auto_fiat_500_40072507.html
Peugeot 307 2007,Peugeot,307,2007,219000,5900,Бензин,Автомат,Одеса,2026-06-26,https://auto.ria.com/uk/auto_peugeot_307_39929890.html
Kia Sportage 2020,Kia,Sportage,2020,72000,16250,Бензин,Автомат,Охтирка,2026-06-26,https://auto.ria.com/uk/auto_kia_sportage_40072130.html
Audi A3 2022,Audi,A3,2022,29000,22700,Гібрид,Автомат,Чернівці (Чернівецька),2026-06-26,https://auto.ria.com/uk/auto_audi_a3_40071423.html
Kia Sportage 2008,Kia,Sportage,2008,173000,8200,Бензин,Ручна / Механіка,Вінниця,2026-06-26,https://auto.ria.com/uk/auto_kia_sportage_40069693.html
Audi Q5 2013,Audi,Q5,2013,188000,12950,Бензин,Автомат,Баришівка,2026-06-26,https://auto.ria.com/uk/auto_audi_q5_40071320.html
Volkswagen Passat 2011,Volkswagen,Passat,2011,230000,7600,Дизель,Ручна / Механіка,Тернопіль,2026-06-26,https://auto.ria.com/uk/auto_volkswagen_passat_37554347.html
Volkswagen Golf 2011,Volkswagen,Golf,2011,235000,7700,Дизель,Ручна / Механіка,Луцьк,2026-06-26,https://auto.ria.com/uk/auto_volkswagen_golf_39997327.html
Volkswagen Golf 2011,Volkswagen,Golf,2011,235000,7400,Дизель,Ручна / Механіка,Луцьк,2026-06-26,https://auto.ria.com/uk/auto_volkswagen_golf_40011253.html
Hyundai Sonata 2015,Hyundai,Sonata,2015,205000,7000,Бензин,Автомат,Київ,2026-06-26,https://auto.ria.com/uk/auto_hyundai_sonata_40070361.html
Skoda Fabia 2014,Skoda,Fabia,2014,220000,6299,Дизель,Ручна / Механіка,Тернопіль,2026-06-26,https://auto.ria.com/uk/auto_skoda_fabia_39976973.html
Land Rover Range Rover Evoque 2021,Land,Rover,2021,65000,39900,Дизель,Автомат,Одеса,2026-06-26,https://auto.ria.com/uk/auto_land-rover_range-rover-evoque_39790395.html
Audi Q5 2025,Audi,Q5,2025,3000,66900,Бензин,Автомат,Львів (Львівська),2026-06-26,https://auto.ria.com/uk/auto_audi_q5_40069853.html
BMW 5 Series 2009,BMW,5,2009,276000,9100,Бензин,Автомат,Хмельницький,2026-06-26,https://auto.ria.com/uk/auto_bmw_5-series_39932966.html
Ford C-Max 2013,Ford,C-Max,2013,208000,7990,Гібрид,Автомат,Київ,2026-06-26,https://auto.ria.com/uk/auto_ford_c-max_40069527.html
Skoda Octavia 2013,Skoda,Octavia,2013,250000,9800,Дизель,Ручна / Механіка,Жовті Води,2026-06-26,https://auto.ria.com/uk/auto_skoda_octavia_39791267.html
Peugeot 3008 2014,Peugeot,3008,2014,170000,11500,Дизель,Ручна / Механіка,Самбір,2026-06-26,https://auto.ria.com/uk/auto_peugeot_3008_39912354.html
BMW 3 Series 2014,BMW,3,2014,85000,12800,Бензин,Автомат,Кременчук,2026-06-26,https://auto.ria.com/uk/auto_bmw_3-series_39811346.html
BMW 7 Series 2019,BMW,7,2019,130000,44900,Бензин,Автомат,Київ,2026-06-26,https://auto.ria.com/uk/auto_bmw_7-series_39161682.html
Renault Megane 2012,Renault,Megane,2012,233000,8700,Дизель,Ручна / Механіка,Ковель,2026-06-25,https://auto.ria.com/uk/auto_renault_megane_40068865.html
BMW 7 Series 2014,BMW,7,2014,152000,19400,Бензин,Автомат,Київ,2026-06-25,https://auto.ria.com/uk/auto_bmw_7-series_40068907.html
Lexus ES 2021,Lexus,ES,2021,89000,34900,Гібрид,Автомат,Київ,2026-06-25,https://auto.ria.com/uk/auto_lexus_es_39615690.html
Audi A6 2005,Audi,A6,2005,379000,7200,Дизель,Автомат,Олевськ,2026-06-25,https://auto.ria.com/uk/auto_audi_a6_40068273.html
Chevrolet Malibu 2012,Chevrolet,Malibu,2012,216000,7700,Дизель,Ручна / Механіка,Київ,2026-06-25,https://auto.ria.com/uk/auto_chevrolet_malibu_40067738.html
Mercedes-Benz Sprinter 2018,Mercedes-Benz,Sprinter,2018,264000,37500,Дизель,Автомат,Рівне (Рівненська),2026-06-25,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_39525309.html
Tesla Model Y 2023,Tesla,Model,2023,1000,29000,Електро,,Київ,2026-06-25,https://auto.ria.com/uk/auto_tesla_model-y_37146518.html
Volkswagen Jetta 2014,Volkswagen,Jetta,2014,259000,9499,Гібрид,Автомат,Дубно,2026-06-25,https://auto.ria.com/uk/auto_volkswagen_jetta_40067126.html
Honda CR-V 2023,Honda,CR-V,2023,44000,35990,Гібрид,Автомат,Київ,2026-06-25,https://auto.ria.com/uk/auto_honda_cr-v_40066998.html
Hyundai Tucson 2008,Hyundai,Tucson,2008,263000,6999,Бензин,Автомат,Кропивницький (Кіровоград),2026-06-25,https://auto.ria.com/uk/auto_hyundai_tucson_40066574.html
Renault Espace 1998,Renault,Espace,1998,400000,1560,Бензин,Автомат,Козелець,2026-06-25,https://auto.ria.com/uk/auto_renault_espace_39417754.html
Skoda Octavia 2022,Skoda,Octavia,2022,168000,23300,Дизель,Автомат,Луцьк,2026-06-25,https://auto.ria.com/uk/auto_skoda_octavia_39726324.html
Dacia Duster 2014,Dacia,Duster,2014,143000,8500,Бензин,Ручна / Механіка,Івано-Франківськ,2026-06-25,https://auto.ria.com/uk/auto_dacia_duster_40065610.html
Mercedes-Benz EQE SUV 2023,Mercedes-Benz,EQE,2023,48000,49500,Електро,,Чернівці (Чернівецька),2026-06-25,https://auto.ria.com/uk/auto_mercedes-benz_eqe-suv_39839351.html
BMW X3 2020,BMW,X3,2020,118000,33500,Бензин,Автомат,Хмельницький,2026-06-25,https://auto.ria.com/uk/auto_bmw_x3_39074832.html
Land Rover Discovery Sport 2014,Land,Rover,2014,170000,16500,Дизель,Автомат,Луцьк,2026-06-25,https://auto.ria.com/uk/auto_land-rover_discovery-sport_40037709.html
Mitsubishi Colt 2012,Mitsubishi,Colt,2012,34000,7999,Бензин,Автомат,Чернівці (Чернівецька),2026-06-25,https://auto.ria.com/uk/auto_mitsubishi_colt_40065185.html
Lexus LS 2001,Lexus,LS,2001,340000,6200,Бензин,Автомат,Київ,2026-06-25,https://auto.ria.com/uk/auto_lexus_ls_39758687.html
Audi A6 2020,Audi,A6,2020,59000,38500,Бензин,Автомат,Київ,2026-06-29,https://auto.ria.com/uk/auto_audi_a6_38648302.html
Audi S6 2022,Audi,S6,2022,65000,58000,Дизель,Автомат,Київ,2026-06-25,https://auto.ria.com/uk/auto_audi_s6_40064905.html
Mazda 6 2010,Mazda,6,2010,259000,6800,Бензин,Ручна / Механіка,Вінниця,2026-06-24,https://auto.ria.com/uk/auto_mazda_6_39927360.html
Volkswagen Caddy 2007,Volkswagen,Caddy,2007,189000,8199,Бензин,Ручна / Механіка,Вінниця,2026-06-24,https://auto.ria.com/uk/auto_volkswagen_caddy_39995220.html
Volkswagen Caddy 2009,Volkswagen,Caddy,2009,229000,7999,Бензин,Ручна / Механіка,Вінниця,2026-06-24,https://auto.ria.com/uk/auto_volkswagen_caddy_39934693.html
Audi A6 2005,Audi,A6,2005,325000,6200,Бензин,Типтронік,Первомайськ (Миколаївська),2026-06-24,https://auto.ria.com/uk/auto_audi_a6_39633747.html
Chrysler 200 2014,Chrysler,200,2014,226000,8800,Бензин,Автомат,Дніпро (Дніпропетровськ),2026-06-24,https://auto.ria.com/uk/auto_chrysler_200_38658258.html
Opel Zafira 2012,Opel,Zafira,2012,173000,8300,Бензин,Ручна / Механіка,Львів (Львівська),2026-06-24,https://auto.ria.com/uk/auto_opel_zafira_40063751.html
Daewoo Sens 2004,Daewoo,Sens,2004,302000,1800,Бензин,Ручна / Механіка,Київ,2026-06-24,https://auto.ria.com/uk/auto_daewoo_sens_40020165.html
Nissan X-Trail 2008,Nissan,X-Trail,2008,270000,9950,Дизель,Ручна / Механіка,Ізяслав,2026-06-24,https://auto.ria.com/uk/auto_nissan_x-trail_40063237.html
Skoda Octavia Scout 2014,Skoda,Octavia,2014,288000,14200,Дизель,Автомат,Житомир,2026-06-24,https://auto.ria.com/uk/auto_skoda_octavia-scout_37839671.html
Citroen C4 Picasso 2011,Citroen,C4,2011,331000,5950,Дизель,Автомат,Івано-Франківськ,2026-06-24,https://auto.ria.com/uk/auto_citroen_c4-picasso_39851337.html
Kia Ceed 2012,Kia,Ceed,2012,205000,7999,Бензин,Автомат,Житомир,2026-06-24,https://auto.ria.com/uk/auto_kia_ceed_40062376.html
Toyota Yaris 2016,Toyota,Yaris,2016,75000,12800,Бензин,Варіатор,Київ,2026-06-24,https://auto.ria.com/uk/auto_toyota_yaris_40062122.html
Lexus RX 2023,Lexus,RX,2023,35000,56000,Бензин,Автомат,Київ,2026-06-24,https://auto.ria.com/uk/auto_lexus_rx_39734287.html
Mercedes-Benz E-Class 1994,Mercedes-Benz,E-Class,1994,306000,7200,Дизель,Автомат,Тараща,2026-06-24,https://auto.ria.com/uk/auto_mercedes-benz_e-class_40062069.html
Audi Q5 2016,Audi,Q5,2016,180000,13000,Бензин,Автомат,Київ,2026-06-24,https://auto.ria.com/uk/auto_audi_q5_40061810.html
Nissan Qashqai 2016,Nissan,Qashqai,2016,213000,15200,Дизель,Ручна / Механіка,Коломия,2026-06-24,https://auto.ria.com/uk/auto_nissan_qashqai_39794171.html
Mercedes-Benz GL-Class 2012,Mercedes-Benz,GL-Class,2012,191000,19900,Дизель,Автомат,Одеса,2026-06-24,https://auto.ria.com/uk/auto_mercedes-benz_gl-class_39642461.html
Opel Omega 2001,Opel,Omega,2001,325000,2400,Дизель,Ручна / Механіка,Корюківка,2026-06-24,https://auto.ria.com/uk/auto_opel_omega_40061379.html
Audi Q7 2013,Audi,Q7,2013,203000,23999,Дизель,Автомат,Трускавець,2026-06-24,https://auto.ria.com/uk/auto_audi_q7_40061086.html
Mercedes-Benz M-Class 2012,Mercedes-Benz,M-Class,2012,180000,20900,Бензин,Типтронік,Київ,2026-06-24,https://auto.ria.com/uk/auto_mercedes-benz_m-class_39063015.html
Mercedes-Benz E-Class 2004,Mercedes-Benz,E-Class,2004,360000,6500,Дизель,Автомат,Київ,2026-06-24,https://auto.ria.com/uk/auto_mercedes-benz_e-class_39839969.html
Skoda Octavia 1998,Skoda,Octavia,1998,470000,2900,Бензин,Ручна / Механіка,Вінниця,2026-06-24,https://auto.ria.com/uk/auto_skoda_octavia_40059834.html
BMW 5 Series 2012,BMW,5,2012,220000,16200,Дизель,Автомат,Дніпро (Дніпропетровськ),2026-06-24,https://auto.ria.com/uk/auto_bmw_5-series_40059513.html
Lexus LX 2022,Lexus,LX,2022,21000,117000,Дизель,Автомат,Київ,2026-06-23,https://auto.ria.com/uk/auto_lexus_lx_40059505.html
Volvo EX30 2024,Volvo,EX30,2024,21000,33500,Електро,,Дніпро (Дніпропетровськ),2026-06-23,https://auto.ria.com/uk/auto_volvo_ex30_40059486.html
Ford Focus 2013,Ford,Focus,2013,140000,7000,Електро,,Львів (Львівська),2026-06-23,https://auto.ria.com/uk/auto_ford_focus_39918675.html
Jeep Cherokee 2022,Jeep,Cherokee,2022,105000,15999,Бензин,Автомат,Івано-Франківськ,2026-06-23,https://auto.ria.com/uk/auto_jeep_cherokee_40058105.html
Citroen Grand C4 Picasso 2016,Citroen,Grand,2016,207000,10399,Дизель,Автомат,Бердичів,2026-06-23,https://auto.ria.com/uk/auto_citroen_grand-c4-picasso_39921698.html
BMW X1 2016,BMW,X1,2016,181000,14800,Бензин,Автомат,Бровари,2026-06-23,https://auto.ria.com/uk/auto_bmw_x1_39918600.html
Nissan Rogue 2021,Nissan,Rogue,2021,59000,25499,Бензин,Варіатор,Київ,2026-06-23,https://auto.ria.com/uk/auto_nissan_rogue_39908849.html
Mercedes-Benz V-Class 2016,Mercedes-Benz,V-Class,2016,201000,56700,Дизель,Автомат,Київ,2026-06-23,https://auto.ria.com/uk/auto_mercedes-benz_v-class_40057588.html
Kia Cerato 2009,Kia,Cerato,2009,123000,5500,Бензин,Ручна / Механіка,Львів (Львівська),2026-06-23,https://auto.ria.com/uk/auto_kia_cerato_40057483.html
Volkswagen Passat 2018,Volkswagen,Passat,2018,225000,18499,Дизель,Автомат,Луцьк,2026-06-23,https://auto.ria.com/uk/auto_volkswagen_passat_39856179.html
Nissan Rogue 2016,Nissan,Rogue,2016,149000,13700,Бензин,Варіатор,Запоріжжя,2026-06-23,https://auto.ria.com/uk/auto_nissan_rogue_40057021.html
Mercedes-Benz GLS-Class 2019,Mercedes-Benz,GLS-Class,2019,214000,59500,Дизель,Автомат,Київ,2026-06-23,https://auto.ria.com/uk/auto_mercedes-benz_gls-class_38973817.html
BMW 3 Series 2001,BMW,3,2001,180000,4100,Дизель,Автомат,Подільськ (Котовськ),2026-06-23,https://auto.ria.com/uk/auto_bmw_3-series_40056226.html
Lexus RX 2006,Lexus,RX,2006,278000,8000,Бензин,Автомат,Київ,2026-06-23,https://auto.ria.com/uk/auto_lexus_rx_39966163.html
Hyundai Sonata 2013,Hyundai,Sonata,2013,300000,7600,Газ,Автомат,Житомир,2026-06-22,https://auto.ria.com/uk/auto_hyundai_sonata_39918625.html
Audi A6 2010,Audi,A6,2010,238000,8999,Бензин,Автомат,Житомир,2026-06-22,https://auto.ria.com/uk/auto_audi_a6_40054123.html
Honda Civic 2008,Honda,Civic,2008,208000,5160,Бензин,Автомат,Київ,2026-06-22,https://auto.ria.com/uk/auto_honda_civic_40053875.html
BMW 3 Series 2006,BMW,3,2006,220000,7500,Бензин,Автомат,Болград,2026-06-22,https://auto.ria.com/uk/auto_bmw_3-series_40053861.html
Audi S6 2017,Audi,S6,2017,120000,31300,Бензин,Автомат,Київ,2026-06-22,https://auto.ria.com/uk/auto_audi_s6_40053719.html
Volvo V50 2007,Volvo,V50,2007,257000,5999,Дизель,Ручна / Механіка,Городок (Львівська),2026-06-22,https://auto.ria.com/uk/auto_volvo_v50_39919892.html
Audi e-tron 2020,Audi,e-tron,2020,87000,32900,Електро,,Львів (Львівська),2026-06-22,https://auto.ria.com/uk/auto_audi_e-tron_40052712.html
Opel Insignia 2014,Opel,Insignia,2014,230000,6950,Дизель,Ручна / Механіка,Хмельницький,2026-06-22,https://auto.ria.com/uk/auto_opel_insignia_39948109.html
Infiniti JX35 2013,Infiniti,JX35,2013,135000,13500,Бензин,Варіатор,Київ,2026-06-22,https://auto.ria.com/uk/auto_infiniti_jx35_40051315.html
Audi A3 2015,Audi,A3,2015,135000,14300,Бензин,Автомат,Київ,2026-06-22,https://auto.ria.com/uk/auto_audi_a3_40051351.html
Chevrolet Aveo 2007,Chevrolet,Aveo,2007,425000,2700,Бензин,Ручна / Механіка,Київ,2026-06-22,https://auto.ria.com/uk/auto_chevrolet_aveo_39500112.html
Citroen Grand C4 Picasso 2013,Citroen,Grand,2013,212000,9300,Дизель,Ручна / Механіка,Золочів (Львівська),2026-06-21,https://auto.ria.com/uk/auto_citroen_grand-c4-picasso_40049517.html
Mitsubishi Outlander 2013,Mitsubishi,Outlander,2013,154000,12900,Бензин,Варіатор,Київ,2026-06-21,https://auto.ria.com/uk/auto_mitsubishi_outlander_40049222.html
BMW iX3 2023,BMW,iX3,2023,54000,35000,Електро,,Коломия,2026-06-21,https://auto.ria.com/uk/auto_bmw_ix3_39632645.html
Mercedes-Benz B-Class 2007,Mercedes-Benz,B-Class,2007,231000,8800,Бензин,,Рівне (Рівненська),2026-06-21,https://auto.ria.com/uk/auto_mercedes-benz_b-class_40048780.html
Toyota RAV4 2021,Toyota,RAV4,2021,46000,32900,Гібрид,,Житомир,2026-06-21,https://auto.ria.com/uk/auto_toyota_rav4_40048163.html
Peugeot 3008 2015,Peugeot,3008,2015,189000,9850,Дизель,Ручна / Механіка,Стрий,2026-06-21,https://auto.ria.com/uk/auto_peugeot_3008_39954118.html
Skoda Octavia 2017,Skoda,Octavia,2017,230000,12500,Бензин,Автомат,Київ,2026-06-21,https://auto.ria.com/uk/auto_skoda_octavia_39900125.html
Peugeot 3008 2018,Peugeot,3008,2018,192000,19300,Дизель,Автомат,Львів (Львівська),2026-06-21,https://auto.ria.com/uk/auto_peugeot_3008_39794612.html
Audi Q4 e-tron 2022,Audi,Q4,2022,21000,27900,Електро,,Львів (Львівська),2026-06-21,https://auto.ria.com/uk/auto_audi_q4-e-tron_40046722.html
Toyota Auris 2010,Toyota,Auris,2010,238000,7250,Дизель,Ручна / Механіка,Мала Виска,2026-06-20,https://auto.ria.com/uk/auto_toyota_auris_34409415.html
Mitsubishi Lancer 2007,Mitsubishi,Lancer,2007,170000,7000,Бензин,Автомат,Дніпро (Дніпропетровськ),2026-06-20,https://auto.ria.com/uk/auto_mitsubishi_lancer_40045851.html
Peugeot 3008 2015,Peugeot,3008,2015,164000,12300,Дизель,Автомат,Самбір,2026-06-20,https://auto.ria.com/uk/auto_peugeot_3008_39758923.html
Renault Duster 2025,Renault,Duster,2025,11000,23000,Дизель,Ручна / Механіка,Київ,2026-06-20,https://auto.ria.com/uk/auto_renault_duster_39907933.html
Renault Megane 2021,Renault,Megane,2021,167000,15400,Дизель,Ручна / Механіка,Долина (Івано-Франківська),2026-06-20,https://auto.ria.com/uk/auto_renault_megane_40045030.html
Mercedes-Benz A-Class 2019,Mercedes-Benz,A-Class,2019,58000,27000,Бензин,Автомат,Одеса,2026-06-20,https://auto.ria.com/uk/auto_mercedes-benz_a-class_40044930.html
Mercedes-Benz G-Class 2025,Mercedes-Benz,G-Class,2025,8000,328000,Гібрид,Автомат,Київ,2026-06-20,https://auto.ria.com/uk/auto_mercedes-benz_g-class_40044032.html
Toyota RAV4 PHEV 2023,Toyota,RAV4,2023,28000,44800,Гібрид,Варіатор,Полтава,2026-06-20,https://auto.ria.com/uk/auto_toyota_rav4-phev_39907216.html
BMW 3 Series 2021,BMW,3,2021,110000,26200,Бензин,Автомат,Київ,2026-06-20,https://auto.ria.com/uk/auto_bmw_3-series_38389966.html
Opel Vectra 2008,Opel,Vectra,2008,252000,4900,Дизель,Ручна / Механіка,Тернопіль,2026-06-19,https://auto.ria.com/uk/auto_opel_vectra_39641756.html
Audi A4 2008,Audi,A4,2008,284000,8899,Бензин,Автомат,Запоріжжя,2026-06-19,https://auto.ria.com/uk/auto_audi_a4_39400353.html
Volkswagen Golf 2013,Volkswagen,Golf,2013,129000,14300,Дизель,Автомат,Дніпро (Дніпропетровськ),2026-06-19,https://auto.ria.com/uk/auto_volkswagen_golf_40041166.html
BMW 3 Series 2007,BMW,3,2007,284000,8500,Бензин,Ручна / Механіка,Павлоград,2026-06-19,https://auto.ria.com/uk/auto_bmw_3-series_40041101.html
Honda Accord 2008,Honda,Accord,2008,134000,9290,Бензин,Автомат,Київ,2026-06-19,https://auto.ria.com/uk/auto_honda_accord_40040693.html
Mazda CX-7 2009,Mazda,CX-7,2009,176000,7000,Бензин,Автомат,Київ,2026-06-19,https://auto.ria.com/uk/auto_mazda_cx-7_40040632.html
Jeep Cherokee 2016,Jeep,Cherokee,2016,201000,9400,Бензин,Автомат,Рівне (Рівненська),2026-06-19,https://auto.ria.com/uk/auto_jeep_cherokee_40040455.html
ВАЗ / Lada 1118 Калина 2008,ВАЗ,/,2008,148000,1400,Бензин,Ручна / Механіка,Бровари,2026-06-19,https://auto.ria.com/uk/auto_vaz-lada_1118-kalina_40040256.html
Nissan Note 2012,Nissan,Note,2012,134000,7300,Бензин,Ручна / Механіка,Дніпро (Дніпропетровськ),2026-06-19,https://auto.ria.com/uk/auto_nissan_note_40039913.html
Audi A4 Allroad 2015,Audi,A4,2015,124000,15300,Бензин,Автомат,Київ,2026-06-19,https://auto.ria.com/uk/auto_audi_a4-allroad_39786731.html
Mercedes-Benz EQS SUV 2022,Mercedes-Benz,EQS,2022,3000,76999,Електро,,Київ,2026-06-19,https://auto.ria.com/uk/auto_mercedes-benz_eqs-suv_38914954.html
Ford Focus 2008,Ford,Focus,2008,240000,5400,Дизель,Ручна / Механіка,Львів (Львівська),2026-06-19,https://auto.ria.com/uk/auto_ford_focus_40039673.html
Toyota RAV4 2019,Toyota,RAV4,2019,217000,23900,Бензин,Автомат,Житомир,2026-06-19,https://auto.ria.com/uk/auto_toyota_rav4_39901576.html
Volkswagen Tiguan 2010,Volkswagen,Tiguan,2010,197000,9799,Бензин,Автомат,Миколаїв (Миколаївська),2026-06-19,https://auto.ria.com/uk/auto_volkswagen_tiguan_40038004.html
Ford Focus 2012,Ford,Focus,2012,211000,7455,,Ручна / Механіка,Самбір,2026-06-19,https://auto.ria.com/uk/auto_ford_focus_40037206.html
Ford Focus 2005,Ford,Focus,2005,640000,3700,Дизель,Ручна / Механіка,Львів (Львівська),2026-06-19,https://auto.ria.com/uk/auto_ford_focus_39903206.html
Mitsubishi Colt 2005,Mitsubishi,Colt,2005,286000,3350,Бензин,Автомат,Одеса,2026-06-19,https://auto.ria.com/uk/auto_mitsubishi_colt_40037524.html
Smart Fortwo 2011,Smart,Fortwo,2011,101000,5800,Бензин,Робот,Львів (Львівська),2026-06-18,https://auto.ria.com/uk/auto_smart_fortwo_39899893.html
Chevrolet Captiva 2006,Chevrolet,Captiva,2006,151000,7550,Бензин,Ручна / Механіка,Долина (Івано-Франківська),2026-06-18,https://auto.ria.com/uk/auto_chevrolet_captiva_39757981.html
Volkswagen ID.4 Crozz 2022,Volkswagen,ID.4,2022,67000,23900,Електро,,Київ,2026-06-18,https://auto.ria.com/uk/auto_volkswagen_id-4-crozz_39730643.html
Audi Q5 2013,Audi,Q5,2013,259000,12300,Бензин,Автомат,Рівне (Рівненська),2026-06-18,https://auto.ria.com/uk/auto_audi_q5_39910525.html
Audi Q5 2013,Audi,Q5,2013,347000,12300,Бензин,Автомат,Рівне (Рівненська),2026-06-18,https://auto.ria.com/uk/auto_audi_q5_39910603.html
